#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
GeoFor_1.0	C12731966	NW_005081494.1	JH767084.1	GPS_002037062.1
GeoFor_1.0	C12731968	NW_005081476.1	JH767066.1	GPS_002037044.1
GeoFor_1.0	C12731976	NW_005081488.1	JH767078.1	GPS_002037056.1
GeoFor_1.0	C12732054	NW_005081442.1	JH767032.1	GPS_002037010.1
GeoFor_1.0	C12732060	NW_005081479.1	JH767069.1	GPS_002037047.1
GeoFor_1.0	C12732066	NW_005081453.1	JH767043.1	GPS_002037021.1
GeoFor_1.0	C12732110	NW_005081521.1	JH767111.1	GPS_002037089.1
GeoFor_1.0	C12732130	NW_005081460.1	JH767050.1	GPS_002037028.1
GeoFor_1.0	C12732186	NW_005081471.1	JH767061.1	GPS_002037039.1
GeoFor_1.0	C12732198	NW_005081516.1	JH767106.1	GPS_002037084.1
GeoFor_1.0	C12732202	NW_005081441.1	JH767031.1	GPS_002037009.1
GeoFor_1.0	C12732218	NW_005081519.1	JH767109.1	GPS_002037087.1
GeoFor_1.0	C12732222	NW_005081464.1	JH767054.1	GPS_002037032.1
GeoFor_1.0	C12732230	NW_005081525.1	JH767115.1	GPS_002037093.1
GeoFor_1.0	C12732300	NW_005081514.1	JH767104.1	GPS_002037082.1
GeoFor_1.0	C12732314	NW_005081487.1	JH767077.1	GPS_002037055.1
GeoFor_1.0	C12732362	NW_005081510.1	JH767100.1	GPS_002037078.1
GeoFor_1.0	C12732394	NW_005081500.1	JH767090.1	GPS_002037068.1
GeoFor_1.0	C12732408	NW_005081465.1	JH767055.1	GPS_002037033.1
GeoFor_1.0	C12732444	NW_005081515.1	JH767105.1	GPS_002037083.1
GeoFor_1.0	C12732490	NW_005081461.1	JH767051.1	GPS_002037029.1
GeoFor_1.0	C12732508	NW_005081529.1	JH767119.1	GPS_002037097.1
GeoFor_1.0	C12732530	NW_005081458.1	JH767048.1	GPS_002037026.1
GeoFor_1.0	C12732568	NW_005081477.1	JH767067.1	GPS_002037045.1
GeoFor_1.0	C12732594	NW_005081459.1	JH767049.1	GPS_002037027.1
GeoFor_1.0	C12732610	NW_005081532.1	JH767122.1	GPS_002037100.1
GeoFor_1.0	C12732650	NW_005081528.1	JH767118.1	GPS_002037096.1
GeoFor_1.0	C12732656	NW_005081495.1	JH767085.1	GPS_002037063.1
GeoFor_1.0	C12732684	NW_005081467.1	JH767057.1	GPS_002037035.1
GeoFor_1.0	C12732698	NW_005081473.1	JH767063.1	GPS_002037041.1
GeoFor_1.0	C12732720	NW_005081491.1	JH767081.1	GPS_002037059.1
GeoFor_1.0	C12732748	NW_005081484.1	JH767074.1	GPS_002037052.1
GeoFor_1.0	C12732782	NW_005081527.1	JH767117.1	GPS_002037095.1
GeoFor_1.0	C12732870	NW_005081474.1	JH767064.1	GPS_002037042.1
GeoFor_1.0	C12732892	NW_005081517.1	JH767107.1	GPS_002037085.1
GeoFor_1.0	C12732900	NW_005081485.1	JH767075.1	GPS_002037053.1
GeoFor_1.0	C12732970	NW_005081524.1	JH767114.1	GPS_002037092.1
GeoFor_1.0	C12732992	NW_005081511.1	JH767101.1	GPS_002037079.1
GeoFor_1.0	C12733002	NW_005081446.1	JH767036.1	GPS_002037014.1
GeoFor_1.0	C12733088	NW_005081454.1	JH767044.1	GPS_002037022.1
GeoFor_1.0	C12733150	NW_005081492.1	JH767082.1	GPS_002037060.1
GeoFor_1.0	C12733170	NW_005081508.1	JH767098.1	GPS_002037076.1
GeoFor_1.0	C12733192	NW_005081470.1	JH767060.1	GPS_002037038.1
GeoFor_1.0	C12733228	NW_005081478.1	JH767068.1	GPS_002037046.1
GeoFor_1.0	C12733358	NW_005081493.1	JH767083.1	GPS_002037061.1
GeoFor_1.0	C12733374	NW_005081440.1	JH767030.1	GPS_002037008.1
GeoFor_1.0	C12733390	NW_005081463.1	JH767053.1	GPS_002037031.1
GeoFor_1.0	C12733406	NW_005081526.1	JH767116.1	GPS_002037094.1
GeoFor_1.0	C12733452	NW_005081457.1	JH767047.1	GPS_002037025.1
GeoFor_1.0	C12733472	NW_005081509.1	JH767099.1	GPS_002037077.1
GeoFor_1.0	C12733494	NW_005081501.1	JH767091.1	GPS_002037069.1
GeoFor_1.0	C12733498	NW_005081466.1	JH767056.1	GPS_002037034.1
GeoFor_1.0	C12733522	NW_005081468.1	JH767058.1	GPS_002037036.1
GeoFor_1.0	C12733536	NW_005081505.1	JH767095.1	GPS_002037073.1
GeoFor_1.0	C12733562	NW_005081449.1	JH767039.1	GPS_002037017.1
GeoFor_1.0	C12733570	NW_005081450.1	JH767040.1	GPS_002037018.1
GeoFor_1.0	C12733626	NW_005081522.1	JH767112.1	GPS_002037090.1
GeoFor_1.0	C12733628	NW_005081456.1	JH767046.1	GPS_002037024.1
GeoFor_1.0	C12733686	NW_005081498.1	JH767088.1	GPS_002037066.1
GeoFor_1.0	C12733698	NW_005081499.1	JH767089.1	GPS_002037067.1
GeoFor_1.0	C12733724	NW_005081486.1	JH767076.1	GPS_002037054.1
GeoFor_1.0	C12733744	NW_005081489.1	JH767079.1	GPS_002037057.1
GeoFor_1.0	C12733754	NW_005081531.1	JH767121.1	GPS_002037099.1
GeoFor_1.0	C12733770	NW_005081443.1	JH767033.1	GPS_002037011.1
